,"S=1,G=0,OMC=0,NS=50","S=1,G=0,OMC=0,NS=100","S=1,G=0,OMC=0,NS=150","S=1,G=0,OMC=2,NS=50","S=1,G=0,OMC=2,NS=100","S=1,G=0,OMC=2,NS=150","S=1,G=0,OMC=4,NS=50","S=1,G=0,OMC=4,NS=100","S=1,G=0,OMC=4,NS=150","S=1,G=1,OMC=0,NS=50","S=1,G=1,OMC=0,NS=100","S=1,G=1,OMC=0,NS=150","S=1,G=1,OMC=2,NS=50","S=1,G=1,OMC=2,NS=100","S=1,G=1,OMC=2,NS=150","S=1,G=1,OMC=4,NS=50","S=1,G=1,OMC=4,NS=100","S=1,G=1,OMC=4,NS=150","S=1,G=2,OMC=0,NS=50","S=1,G=2,OMC=0,NS=100","S=1,G=2,OMC=0,NS=150","S=1,G=2,OMC=2,NS=50","S=1,G=2,OMC=2,NS=100","S=1,G=2,OMC=2,NS=150","S=1,G=2,OMC=4,NS=50","S=1,G=2,OMC=4,NS=100","S=1,G=2,OMC=4,NS=150","S=1,G=3,OMC=0,NS=50","S=1,G=3,OMC=0,NS=100","S=1,G=3,OMC=0,NS=150","S=1,G=3,OMC=2,NS=50","S=1,G=3,OMC=2,NS=100","S=1,G=3,OMC=2,NS=150","S=1,G=3,OMC=4,NS=50","S=1,G=3,OMC=4,NS=100","S=1,G=3,OMC=4,NS=150","S=1,G=4,OMC=0,NS=50","S=1,G=4,OMC=0,NS=100","S=1,G=4,OMC=0,NS=150","S=1,G=4,OMC=2,NS=50","S=1,G=4,OMC=2,NS=100","S=1,G=4,OMC=2,NS=150","S=1,G=4,OMC=4,NS=50","S=1,G=4,OMC=4,NS=100","S=1,G=4,OMC=4,NS=150","S=1,G=5,OMC=0,NS=50","S=1,G=5,OMC=0,NS=100","S=1,G=5,OMC=0,NS=150","S=1,G=5,OMC=2,NS=50","S=1,G=5,OMC=2,NS=100","S=1,G=5,OMC=2,NS=150","S=1,G=5,OMC=4,NS=50","S=1,G=5,OMC=4,NS=100","S=1,G=5,OMC=4,NS=150","S=2,G=0,OMC=0,NS=50","S=2,G=0,OMC=0,NS=100","S=2,G=0,OMC=0,NS=150","S=2,G=0,OMC=2,NS=50","S=2,G=0,OMC=2,NS=100","S=2,G=0,OMC=2,NS=150","S=2,G=0,OMC=4,NS=50","S=2,G=0,OMC=4,NS=100","S=2,G=0,OMC=4,NS=150","S=2,G=1,OMC=0,NS=50","S=2,G=1,OMC=0,NS=100","S=2,G=1,OMC=0,NS=150","S=2,G=1,OMC=2,NS=50","S=2,G=1,OMC=2,NS=100","S=2,G=1,OMC=2,NS=150","S=2,G=1,OMC=4,NS=50","S=2,G=1,OMC=4,NS=100","S=2,G=1,OMC=4,NS=150","S=2,G=2,OMC=0,NS=50","S=2,G=2,OMC=0,NS=100","S=2,G=2,OMC=0,NS=150","S=2,G=2,OMC=2,NS=50","S=2,G=2,OMC=2,NS=100","S=2,G=2,OMC=2,NS=150","S=2,G=2,OMC=4,NS=50","S=2,G=2,OMC=4,NS=100","S=2,G=2,OMC=4,NS=150","S=2,G=3,OMC=0,NS=50","S=2,G=3,OMC=0,NS=100","S=2,G=3,OMC=0,NS=150","S=2,G=3,OMC=2,NS=50","S=2,G=3,OMC=2,NS=100","S=2,G=3,OMC=2,NS=150","S=2,G=3,OMC=4,NS=50","S=2,G=3,OMC=4,NS=100","S=2,G=3,OMC=4,NS=150","S=2,G=4,OMC=0,NS=50","S=2,G=4,OMC=0,NS=100","S=2,G=4,OMC=0,NS=150","S=2,G=4,OMC=2,NS=50","S=2,G=4,OMC=2,NS=100","S=2,G=4,OMC=2,NS=150","S=2,G=4,OMC=4,NS=50","S=2,G=4,OMC=4,NS=100","S=2,G=4,OMC=4,NS=150","S=2,G=5,OMC=0,NS=50","S=2,G=5,OMC=0,NS=100","S=2,G=5,OMC=0,NS=150","S=2,G=5,OMC=2,NS=50","S=2,G=5,OMC=2,NS=100","S=2,G=5,OMC=2,NS=150","S=2,G=5,OMC=4,NS=50","S=2,G=5,OMC=4,NS=100","S=2,G=5,OMC=4,NS=150"
STRAIN,STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA),STRESS(KPA)
0.666666667,59.64854,76.7772,87.19619,56.81051,73.64581,86.57694,53.20985,67.10795,73.40527,39.03463,47.47459,61.53276,31.04446,43.71223,56.21904,23.43369,33.15252,42.13425,38.31719,49.69711,56.38774,32.46632,44.85195,53.64758,31.14767,42.19521,50.08543,33.84379,65.33891,94.64135,30.37531,57.77661,78.67283,27.08328,46.91347,67.25637,40.08049,60.60801,77.08455,37.04082,55.06628,69.9902,33.24547,49.28434,63.2109,30.53964,48.66302,61.67682,27.93635,45.87657,58.62157,25.06181,38.25194,53.08543,55.77181,60.98448,67.14085,40.95706,51.34593,56.39293,31.92966,38.14366,42.93518,33.85369,37.8676,48.83458,25.16157,31.55128,39.58189,16.91078,21.59254,26.40682,33.39026,42.38257,60.31487,30.3317,39.7379,56.8528,27.69889,36.65822,53.28471,30.52813,62.04269,88.78942,30.68457,56.04984,77.28609,25.08328,49.42101,68.8725,32.19894,44.5017,63.11107,31.54634,45.25766,59.16514,29.65271,42.55446,57.69194,36.31804,46.62083,68.45738,34.13833,46.75008,68.11243,34.65492,48.09777,66.29833
1.333333333,69.88462,93.19928,106.0011,65.89547,88.51062,103.0445,61.09606,81.10071,86.30435,46.839,58.89774,76.3924,36.23453,52.56563,66.74338,27.79524,42.28439,54.03795,48.073,61.34847,70.73594,42.72215,55.96266,66.56654,38.20429,51.66349,59.54708,41.20675,80.96899,108.78093,36.53314,70.61235,93.51546,32.03783,58.36385,84.37486,49.88987,74.24873,93.32844,44.74764,66.53951,83.371,40.75106,59.74367,75.01505,40.15136,60.4174,80.07032,36.72874,56.9579,76.01476,32.9495,48.90368,66.54708,62.0144,69.997,77.26893,46.066,58.93403,64.8997,35.91253,43.78067,49.41187,38.29794,43.8366,57.36828,30.98984,36.69146,46.49871,22.78718,26.68836,33.45819,40.19013,52.86369,71.40402,36.50869,49.565,67.30543,33.33973,45.72372,63.08134,39.31905,73.73407,95.07116,35.98311,65.83686,83.28435,31.03783,58.04779,77.15251,38.7562,55.50688,74.71431,36.89521,53.33456,69.84497,34.01626,49.67133,67.42237,42.56539,58.15006,81.04356,39.99014,55.92903,79.83696,39.70765,55.90984,77.23493
2,73.9636,105.60749,115.2546,69.65961,99.14148,110.66929,64.50834,90.92546,95.06706,50.4576,63.24117,83.0966,38.78523,56.58176,71.93302,28.57509,44.77575,59.73344,52.68485,67.3969,79.49688,47.27498,60.48266,73.53392,41.9335,54.38053,63.5269,42.94878,88.21208,114.05647,38.38176,77.90492,99.69812,33.84806,65.16776,90.2274,53.31681,80.64449,99.34668,47.44837,73.07807,89.44602,43.02078,65.00414,80.29348,45.88483,67.02544,91.20102,41.97347,63.18756,84.22182,37.65457,54.4482,71.72612,63.7866,74.0778,81.3078,47.823,62.36986,68.29203,37.39905,46.33307,51.99465,39.8976,46.8516,61.0726,34.36779,38.70355,49.50117,25.82252,29.06678,35.65091,42.6162,58.27707,77.2488,38.71254,54.64058,72.81472,35.35228,50.40595,68.24487,41.7408,78.7774,95.79139,38.57627,70.10837,85.47325,33.84806,62.09945,79.3595,41.09571,61.19092,80.83005,39.04572,56.52553,75.18836,35.95023,52.89514,72.44968,45.33654,64.10477,87.67739,42.43179,60.60346,85.8264,41.9024,59.74895,82.78108
2.666666667,76.41908,112.16962,121.91291,72.04061,102.72892,116.06545,66.77816,94.30166,99.54257,53.25733,66.73782,89.0354,39.57775,59.52875,76.84139,29.31929,46.90419,62.81893,56.67661,72.11322,86.3144,49.66083,64.00917,78.20642,43.85209,57.09757,67.31482,45.42531,93.69021,119.26469,40.52554,81.79876,105.22538,35.96501,69.44952,95.539,55.05096,85.74172,104.35954,49.71319,76.97435,94.5459,44.03855,68.50355,84.71823,47.62242,72.57179,98.46149,43.56294,68.41633,91.36558,39.08049,57.99907,75.91689,64.8488,76.51665,84.0358,49.58,64.42325,70.58333,38.44717,47.85848,53.73915,41.5084,49.36419,63.9458,35.75533,40.79704,51.82999,26.86506,30.43219,37.35165,45.0788,62.14112,81.56,40.94956,58.26351,76.87846,37.39513,53.74811,72.05356,43.48678,82.316,96.55082,40.80243,72.99865,86.86502,35.96501,64.81242,80.58009,43.47045,65.24817,85.34112,40.98883,59.47481,79.27169,37.53985,55.54704,76.16627,48.1077,68.35523,92.5706,44.68541,64.01668,90.03119,43.69708,62.35656,86.60946
3.333333333,75.923,114.00271,128.75713,71.92415,104.37557,121.06738,67.00304,96.25423,103.73426,53.45667,70.34755,94.122,39.99579,62.55176,79.57541,29.84291,49.08109,65.52475,57.391,76.46272,91.623,50.49883,67.52863,82.87299,44.76147,59.81461,71.09889,46.4774,96.33448,124.35364,41.56996,84.35834,110.38152,37.13106,72.95303,99.40127,55.934,89.2386,109.80832,50.65439,80.08152,99.45726,45.07627,71.61382,88.45049,49.36043,77.82516,104.15412,45.1528,72.5747,97.33165,40.50676,60.59626,79.59891,65.911,77.618,85.764,51.337,65.35053,72.03488,39.4953,48.54734,54.84429,43.166,51.742,66.174,37.18319,42.77823,53.63601,27.93789,31.91363,38.67059,46.786,65.45559,85.157,42.50038,61.37116,80.26899,38.81133,56.61491,75.23131,44.912,84.20586,97.892,42.0205,74.69069,88.15908,37.13106,66.35812,82.10369,45.11674,68.72837,89.10488,42.35387,61.51443,82.53915,38.66984,57.46151,79.08752,49.67042,72.00115,96.6532,46.1062,66.69689,93.51877,44.8371,64.48409,89.8192
4,72.43569,112.78433,133.29403,66.48738,103.61942,124.32867,60.57631,95.96993,108.60339,53.75674,73.59814,97.6636,40.47666,65.50549,81.93801,30.40354,51.53266,67.98709,57.391,78.95118,95.0884,50.65922,70.04789,86.31133,45.22905,62.53165,74.73444,46.81491,96.54696,127.61577,41.83961,84.82099,113.67069,38.2543,74.32052,101.89382,56.02462,91.58907,114.17209,50.86942,82.18644,103.32101,45.87168,73.65609,91.45587,51.09532,82.52245,109.85367,46.7398,77.85382,101.16575,41.93046,63.71298,82.51733,66.9732,78.4542,86.80218,53.094,66.05457,72.90687,40.54342,49.07035,55.50819,44.82973,53.13943,68.1024,38.61633,44.27577,55.19904,29.01469,33.1073,39.81208,48.50585,68.43686,88.0282,44.0627,64.1664,82.97538,40.23804,59.19352,77.76785,46.2876,84.5104,98.817,43.16465,75.24994,88.8164,38.2543,67.145,82.96803,46.77523,71.3809,92.10919,43.63812,63.4661,85.26509,39.66662,59.16409,81.51023,51.23314,75.28055,99.91201,47.42169,69.09666,96.41349,45.83169,66.19553,92.41501
4.666666667,67.22892,110.2555,136.30946,61.22253,101.80562,126.5022,55.30563,94.6922,111.06079,54.01713,77.12439,101.2418,40.93278,68.30845,84.3256,30.94959,53.88808,70.46586,57.391,82.69527,98.9454,50.53794,73.30782,89.34509,45.51297,65.27632,78.1067,47.15062,96.83533,130.09753,42.10932,85.22463,116.21393,38.46257,75.14632,103.91643,56.1152,93.6053,117.84147,50.94363,84.01822,106.60951,46.11777,75.44132,94.1057,52.84072,86.62622,115.06815,48.33642,80.77311,105.13594,43.36279,65.83041,84.93533,68.0354,79.057,87.51188,54.851,66.5621,73.50296,41.59155,49.44738,55.96203,45.952,54.8006,69.47246,39.58305,45.65986,56.30952,29.74104,34.14225,40.62306,49.4224,69.37894,89.5024,44.89529,65.04969,84.36496,40.99836,60.00836,79.07022,47.5022,84.821,99.242,44.11877,75.79139,89.44871,39.1788,67.85924,83.77632,47.65908,72.64503,93.65173,44.36955,64.53124,86.71306,40.27109,60.09734,82.83621,51.99094,76.97646,101.58522,48.20237,70.39515,97.8418,46.4981,67.03595,93.66059
5.333333333,62.46372,107.722,139.20819,57.64665,101.00384,127.2068,50.63509,92.46936,113.51256,54.17928,80.4396,104.9242,41.32762,70.96956,86.78436,31.45954,56.15305,72.99141,57.391,86.02593,103.1052,50.41426,76.3162,91.80043,45.79533,68.1043,80.99585,47.48789,97.12335,132.51938,42.37881,85.46854,117.75516,38.67118,75.45544,105.92405,56.20601,95.41464,121.13229,51.01653,85.64437,109.1078,46.36325,77.00987,96.50684,54.57014,89.39981,119.83091,49.91841,83.49848,108.67345,44.78201,67.91467,87.4506,69.0976,79.63837,87.92586,55.9188,67.05158,73.85067,42.63968,49.83986,56.22676,47.07935,56.47104,70.5668,40.55416,47.05167,57.19651,30.47069,35.18298,41.1964,50.34238,70.32604,90.9766,45.53802,65.93769,85.75454,41.5853,60.82754,80.3728,48.2088,85.153,100.167,44.75792,76.34664,90.08508,39.77387,68.47992,84.55941,48.54624,73.84234,95.19428,45.04803,65.51145,88.13314,40.79106,60.92151,84.07062,52.74874,78.89695,102.43066,48.93006,71.82292,98.80078,47.11928,67.50321,94.30264
6,60.4478,104.851,140.37082,53.97849,98.48658,127.9114,48.01413,91.39437,115.29484,54.25923,84.1047,108.4056,41.6712,72.52977,89.10585,31.9393,58.35368,75.42672,57.391,88.83875,105.4306,50.6056,78.91952,93.58612,46.28309,70.71601,83.34253,47.8245,97.41231,134.05003,42.64823,85.73202,119.27275,38.87973,76.39206,107.25714,56.29699,96.96553,123.56032,51.24691,87.07777,111.25943,46.71141,78.78404,98.31534,56.30807,91.7598,124.03825,51.5082,85.95098,112.19021,46.20821,69.85218,89.97195,70.2124,80.1508,88.29231,56.9874,67.48303,74.15845,43.71665,50.23186,56.46109,47.9516,57.5902,71.5084,41.30551,47.98415,57.9597,31.03522,35.88025,41.7702,50.87232,70.95246,92.2108,46.18153,66.31059,86.9179,42.17296,61.1722,80.7514,48.7502,85.485,101.092,45.29466,76.78687,90.58289,40.26183,68.99607,85.12469,49.21964,74.50008,96.48569,45.59199,66.27593,89.31282,41.23085,61.59012,85.11421,53.50654,80.81743,103.00016,49.65822,73.2394,99.5866,47.72917,67.97132,94.78075
